fingerprint,Acc,Pre,Recall,F1,AUC,method
MACCS,0.8814,0.7965,0.6803,0.7339,0.8127,Original
MACCS,0.8349,0.6186,0.8164,0.7039,0.8286,R_U_S_D
MACCS,0.8703,0.6844,0.8963,0.7761,0.8789,R_U_S
MACCS,0.816,0.5821,0.8311,0.6847,0.8212,C_S
ECFP4,0.8723,0.793,0.6344,0.7049,0.791,Original
ECFP4,0.8219,0.598,0.7902,0.6808,0.8111,R_U_S_D
ECFP4,0.8595,0.6665,0.8807,0.7588,0.8666,R_U_S
ECFP4,0.7912,0.5454,0.7885,0.6448,0.7903,C_S
FCFP4,0.8731,0.7975,0.6328,0.7057,0.791,Original
FCFP4,0.8282,0.6098,0.7918,0.689,0.8158,R_U_S_D
FCFP4,0.8591,0.6699,0.8644,0.7549,0.8609,R_U_S
FCFP4,0.8093,0.5745,0.7967,0.6676,0.805,C_S
MACCS+ECFP4,0.8842,0.8135,0.6721,0.7361,0.8117,Original
MACCS+ECFP4,0.8361,0.6222,0.8098,0.7037,0.8271,R_U_S_D
MACCS+ECFP4,0.8751,0.696,0.8919,0.7818,0.8807,R_U_S
MACCS+ECFP4,0.8101,0.5739,0.8148,0.6734,0.8117,C_S
MACCS+FCFP4,0.8869,0.8198,0.6787,0.7426,0.8157,Original
MACCS+FCFP4,0.8511,0.6499,0.8246,0.7269,0.842,R_U_S_D
MACCS+FCFP4,0.884,0.7138,0.8978,0.7953,0.8886,R_U_S
MACCS+FCFP4,0.8207,0.5904,0.8295,0.6898,0.8237,C_S
ECFP4+FCFP4,0.8775,0.802,0.6508,0.7186,0.8,Original
ECFP4+FCFP4,0.8333,0.6179,0.8033,0.6985,0.8231,R_U_S_D
ECFP4+FCFP4,0.8684,0.683,0.8874,0.7719,0.8747,R_U_S
ECFP4+FCFP4,0.8046,0.5664,0.7967,0.6621,0.8019,C_S
MACCS+ECFP4+FCFP4,0.8865,0.8207,0.6754,0.741,0.8144,Original
MACCS+ECFP4+FCFP4,0.8424,0.6346,0.8115,0.7122,0.8318,R_U_S_D
MACCS+ECFP4+FCFP4,0.8785,0.7023,0.8948,0.787,0.8839,R_U_S
MACCS+ECFP4+FCFP4,0.8215,0.5922,0.8262,0.6899,0.8231,C_S
